#T eMean sigmaE mMean sigmaM 
0.004000 1920.000000 0.000000 320.000000 0.000000
0.008000 1920.000000 0.000000 320.000000 0.000000
0.012000 1920.000000 0.000000 320.000000 0.000000
0.016000 1920.000000 0.000000 320.000000 0.000000
0.020000 1920.000000 0.000000 320.000000 0.000000
0.024000 1920.000000 0.000000 320.000000 0.000000
0.028000 1920.000000 0.000000 320.000000 0.000000
0.032000 1920.000000 0.000000 320.000000 0.000000
0.036000 1920.000000 0.000000 320.000000 0.000000
0.040000 1920.000000 0.000000 320.000000 0.000000
0.044000 1920.000000 0.000000 320.000000 0.000000
0.048000 1920.000000 0.000000 320.000000 0.000000
0.052000 1920.000000 0.000000 320.000000 0.000000
0.056000 1920.000000 0.000000 320.000000 0.000000
0.060000 1920.000000 0.000000 320.000000 0.000000
0.064000 1920.000000 0.000000 320.000000 0.000000
0.068000 1920.000000 0.000000 320.000000 0.000000
0.072000 1920.000000 0.000000 320.000000 0.000000
0.076000 1920.000000 0.000000 320.000000 0.000000
0.080000 1920.000000 0.000000 320.000000 0.000000
0.084000 1920.000000 0.000000 320.000000 0.000000
0.088000 1920.000000 0.000000 320.000000 0.000000
0.092000 1920.000000 0.000000 320.000000 0.000000
0.096000 1920.000000 0.000000 320.000000 0.000000
0.100000 1920.000000 0.000000 320.000000 0.000000
0.104000 1920.000000 0.000000 320.000000 0.000000
0.108000 1920.000000 0.000000 320.000000 0.000000
0.112000 1920.000000 0.000000 320.000000 0.000000
0.116000 1920.000000 0.000000 320.000000 0.000000
0.120000 1920.000000 0.000000 320.000000 0.000000
0.124000 1920.000000 0.000000 320.000000 0.000000
0.128000 1920.000000 0.000000 320.000000 0.000000
0.132000 1920.000000 0.000000 320.000000 0.000000
0.136000 1920.000000 0.000000 320.000000 0.000000
0.140000 1920.000000 0.000000 320.000000 0.000000
0.144000 1920.000000 0.000000 320.000000 0.000000
0.148000 1920.000000 0.000000 320.000000 0.000000
0.152000 1920.000000 0.000000 320.000000 0.000000
0.156000 1920.000000 0.000000 320.000000 0.000000
0.160000 1920.000000 0.000000 320.000000 0.000000
0.164000 1920.000000 0.000000 320.000000 0.000000
0.168000 1920.000000 0.000000 320.000000 0.000000
0.172000 1920.000000 0.000000 320.000000 0.000000
0.176000 1920.000000 0.000000 320.000000 0.000000
0.180000 1920.000000 0.000000 320.000000 0.000000
0.184000 1920.000000 0.000000 320.000000 0.000000
0.188000 1920.000000 0.000000 320.000000 0.000000
0.192000 1920.000000 0.000000 320.000000 0.000000
0.196000 1920.000000 0.000000 320.000000 0.000000
0.200000 1920.000000 0.000000 320.000000 0.000000
0.204000 1920.000000 0.000000 320.000000 0.000000
0.208000 1920.000000 0.000000 320.000000 0.000000
0.212000 1920.000000 0.000000 320.000000 0.000000
0.216000 1920.000000 0.000000 320.000000 0.000000
0.220000 1920.000000 0.000000 320.000000 0.000000
0.224000 1920.000000 0.000000 320.000000 0.000000
0.228000 1920.000000 0.000000 320.000000 0.000000
0.232000 1920.000000 0.000000 320.000000 0.000000
0.236000 1920.000000 0.000000 320.000000 0.000000
0.240000 1920.000000 0.000000 320.000000 0.000000
0.244000 1920.000000 0.000000 320.000000 0.000000
0.248000 1920.000000 0.000000 320.000000 0.000000
0.252000 1920.000000 0.000000 320.000000 0.000000
0.256000 1920.000000 0.000000 320.000000 0.000000
0.260000 1920.000000 0.000000 320.000000 0.000000
0.264000 1920.000000 0.000000 320.000000 0.000000
0.268000 1920.000000 0.000000 320.000000 0.000000
0.272000 1920.000000 0.000000 320.000000 0.000000
0.276000 1920.000000 0.000000 320.000000 0.000000
0.280000 1920.000000 0.000000 320.000000 0.000000
0.284000 1920.000000 0.000000 320.000000 0.000000
0.288000 1920.000000 0.000000 320.000000 0.000000
0.292000 1920.000000 0.000000 320.000000 0.000000
0.296000 1920.000000 0.000000 320.000000 0.000000
0.300000 1920.000000 0.000000 345.599976 983.063110
0.304000 1920.000000 0.000000 383.999969 0.023438
0.308000 1920.000000 0.000000 390.399963 368.681091
0.312000 1919.599976 1.433730 448.999939 9.070435
0.316000 1920.000000 0.000000 447.999939 0.070312
0.320000 1920.000000 0.000000 460.799988 655.386902
0.324000 1920.000000 0.000000 512.000061 -0.031250
0.328000 1920.000000 0.000000 512.000061 -0.031250
0.332000 1920.000000 0.000000 479.999939 1024.089844
0.336000 1920.000000 0.000000 505.600037 368.634216
0.340000 1920.000000 0.000000 512.000061 -0.031250
0.344000 1919.599976 1.433730 511.800049 0.335020
0.348000 1919.599976 1.433730 513.000061 8.968628
0.352000 1920.000000 0.000000 556.800049 860.080627
0.356000 1920.000000 0.000000 556.799988 860.148621
0.360000 1920.000000 0.000000 556.800049 860.111877
0.364000 1919.599976 1.433730 477.599945 922.323730
0.368000 1919.599976 1.433730 373.600006 3738.222900
0.372000 1920.000000 0.000000 447.999939 0.070312
0.376000 1920.000000 0.000000 396.799957 655.387634
0.380000 1919.199951 2.547422 373.599976 420.667603
0.384000 1920.000000 0.000000 326.399994 2826.247070
0.388000 1920.000000 0.000000 403.199951 860.190002
0.392000 1920.000000 0.000000 358.399994 983.045959
0.396000 1919.599976 1.433730 368.199951 1478.795898
0.400000 1919.599976 1.433730 334.999969 1999.426636
0.404000 1919.199951 2.547422 163.399979 9825.650391
0.408000 1918.400024 3.846328 72.800003 1121.759644
0.412000 1920.000000 0.000000 51.200005 655.359802
0.416000 1920.000000 0.000000 198.399994 8560.645508
0.420000 1919.599976 1.433730 320.200012 0.350620
0.424000 1919.199951 2.547422 365.800049 5963.527344
0.428000 1919.199951 2.547422 257.800018 8190.751953
0.432000 1919.599976 1.433730 416.799988 1900.176392
0.436000 1919.199951 2.547422 356.199982 894.768372
0.440000 1918.399902 7.314688 415.999969 1917.634766
0.444000 1919.199951 2.547422 422.200012 16280.352539
0.448000 1919.599976 1.433730 289.200012 1113.759155
0.452000 1918.000000 4.000000 559.400024 10026.424805
0.456000 1919.199951 6.047422 617.799988 3283.550049
0.460000 1917.599854 7.551797 526.799988 2592.991699
0.464000 1918.000000 4.000000 592.000000 2372.781250
0.468000 1969.600220 4105.724609 853.800049 20755.539062
0.472000 2048.000244 -0.500000 1024.000122 -0.125000
0.476000 2048.000244 -0.500000 1024.000122 -0.125000
0.480000 2048.000244 -0.500000 1024.000122 -0.125000
0.484000 2048.000244 -0.500000 1024.000122 -0.125000
0.488000 2048.000244 -0.500000 1024.000122 -0.125000
0.492000 2048.000244 -0.500000 1024.000122 -0.125000
0.496000 2048.000244 -0.500000 1024.000122 -0.125000
0.500000 2048.000244 -0.500000 1024.000122 -0.125000
0.504000 2048.000244 -0.500000 1024.000122 -0.125000
0.508000 2048.000244 -0.500000 1024.000122 -0.125000
0.512000 2048.000244 -0.500000 1024.000122 -0.125000
0.516000 2048.000244 -0.500000 1024.000122 -0.125000
0.520000 2048.000244 -0.500000 1024.000122 -0.125000
0.524000 2048.000244 -0.500000 1024.000122 -0.125000
0.528000 2048.000244 -0.500000 1024.000122 -0.125000
0.532000 2048.000244 -0.500000 1024.000122 -0.125000
0.536000 2048.000244 -0.500000 1024.000122 -0.125000
0.540000 2048.000244 -0.500000 1024.000122 -0.125000
0.544000 2048.000244 -0.500000 1024.000122 -0.125000
0.548000 2048.000244 -0.500000 1024.000122 -0.125000
0.552000 2048.000244 -0.500000 1024.000122 -0.125000
0.556000 2048.000244 -0.500000 1024.000122 -0.125000
0.560000 2048.000244 -0.500000 1024.000122 -0.125000
0.564000 2048.000244 -0.500000 1024.000122 -0.125000
0.568000 2048.000244 -0.500000 1024.000122 -0.125000
0.572000 2048.000244 -0.500000 1024.000122 -0.125000
0.576000 2048.000244 -0.500000 1024.000122 -0.125000
0.580000 2048.000244 -0.500000 1024.000122 -0.125000
0.584000 2048.000244 -0.500000 1024.000122 -0.125000
0.588000 2048.000244 -0.500000 1024.000122 -0.125000
0.592000 2048.000244 -0.500000 1024.000122 -0.125000
0.596000 2048.000244 -0.500000 1024.000122 -0.125000
0.600000 2048.000244 -0.500000 1024.000122 -0.125000
0.604000 2048.000244 -0.500000 1024.000122 -0.125000
0.608000 2048.000244 -0.500000 1024.000122 -0.125000
0.612000 2048.000244 -0.500000 1024.000122 -0.125000
0.616000 2048.000244 -0.500000 1024.000122 -0.125000
0.620000 2047.200195 5.360312 1023.800110 0.210044
0.624000 2048.000244 -0.500000 1024.000122 -0.125000
0.628000 2048.000244 -0.500000 1024.000122 -0.125000
0.632000 2047.200195 5.360312 1023.800110 0.210044
0.636000 2048.000244 -0.500000 1024.000122 -0.125000
0.640000 2048.000244 -0.500000 1024.000122 -0.125000
0.644000 2048.000244 -0.500000 1024.000122 -0.125000
0.648000 2048.000244 -0.500000 1024.000122 -0.125000
0.652000 2048.000244 -0.500000 1024.000122 -0.125000
0.656000 2048.000244 -0.500000 1024.000122 -0.125000
0.660000 2048.000244 -0.500000 1024.000122 -0.125000
0.664000 2048.000244 -0.500000 1024.000122 -0.125000
0.668000 2048.000244 -0.500000 1024.000122 -0.125000
0.672000 2048.000244 -0.500000 1024.000122 -0.125000
0.676000 2048.000244 -0.500000 1024.000122 -0.125000
0.680000 2048.000244 -0.500000 1024.000122 -0.125000
0.684000 2048.000244 -0.500000 1024.000122 -0.125000
0.688000 2048.000244 -0.500000 1024.000122 -0.125000
0.692000 2048.000244 -0.500000 1024.000122 -0.125000
0.696000 2048.000244 -0.500000 1024.000122 -0.125000
0.700000 2047.200195 5.360312 1023.800110 0.210044
0.704000 2048.000244 -0.500000 1024.000122 -0.125000
0.708000 2048.000244 -0.500000 1024.000122 -0.125000
0.712000 2048.000244 -0.500000 1024.000122 -0.125000
0.716000 2048.000244 -0.500000 1024.000122 -0.125000
0.720000 2048.000244 -0.500000 1024.000122 -0.125000
0.724000 2048.000244 -0.500000 1024.000122 -0.125000
0.728000 2048.000244 -0.500000 1024.000122 -0.125000
0.732000 2048.000244 -0.500000 1024.000122 -0.125000
0.736000 2048.000244 -0.500000 1024.000122 -0.125000
0.740000 2048.000244 -0.500000 1024.000122 -0.125000
0.744000 2048.000244 -0.500000 1024.000122 -0.125000
0.748000 2048.000244 -0.500000 1024.000122 -0.125000
0.752000 2048.000244 -0.500000 1024.000122 -0.125000
0.756000 2048.000244 -0.500000 1024.000122 -0.125000
0.760000 2047.200195 5.360312 1023.800110 0.210044
0.764000 2048.000244 -0.500000 1024.000122 -0.125000
0.768000 2047.200195 5.360312 1023.800110 0.210044
0.772000 2048.000244 -0.500000 1024.000122 -0.125000
0.776000 2048.000244 -0.500000 1024.000122 -0.125000
0.780000 2047.200195 5.360312 1023.800110 0.210044
0.784000 2047.200195 5.360312 1023.800110 0.210044
0.788000 2048.000244 -0.500000 1024.000122 -0.125000
0.792000 2048.000244 -0.500000 1024.000122 -0.125000
0.796000 2048.000244 -0.500000 1024.000122 -0.125000
